timestamp,x,y,z,w,toCompare
1.46E+15,0.398621,0.114685,-0.288452,-0.863037,0.398621 0.114685 -0.288452
1.46E+15,0.398743,0.114685,-0.288513,-0.862915,0.398743 0.114685 -0.288513
1.46E+15,0.398682,0.114685,-0.288513,-0.862976,0.398682 0.114685 -0.288513
1.46E+15,0.398743,0.114441,-0.288452,-0.862976,0.398743 0.114441 -0.288452
1.46E+15,0.398804,0.114441,-0.288452,-0.862976,0.398804 0.114441 -0.288452
1.46E+15,0.398438,0.114624,-0.288574,-0.863037,0.398438 0.114624 -0.288574
1.46E+15,0.39801,0.114624,-0.288696,-0.86322,0.39801 0.114624 -0.288696
1.46E+15,0.39801,0.114624,-0.288757,-0.86322,0.39801 0.114624 -0.288757
1.46E+15,0.39801,0.114563,-0.288757,-0.86322,0.39801 0.114563 -0.288757
1.46E+15,0.39801,0.114746,-0.288818,-0.863159,0.39801 0.114746 -0.288818
1.46E+15,0.39801,0.114746,-0.288818,-0.863159,0.39801 0.114746 -0.288818
1.46E+15,0.398193,0.114746,-0.28894,-0.863037,0.398193 0.114746 -0.28894
1.46E+15,0.398438,0.114868,-0.288879,-0.862915,0.398438 0.114868 -0.288879
1.46E+15,0.398376,0.114868,-0.288879,-0.862915,0.398376 0.114868 -0.288879
1.46E+15,0.398376,0.114868,-0.288879,-0.862976,0.398376 0.114868 -0.288879
1.46E+15,0.398376,0.115051,-0.289063,-0.862854,0.398376 0.115051 -0.289063
1.46E+15,0.398376,0.115234,-0.289185,-0.862793,0.398376 0.115234 -0.289185
1.46E+15,0.398376,0.115234,-0.289185,-0.862793,0.398376 0.115234 -0.289185
1.46E+15,0.398376,0.115234,-0.289185,-0.862793,0.398376 0.115234 -0.289185
1.46E+15,0.398438,0.115173,-0.289429,-0.862671,0.398438 0.115173 -0.289429
1.46E+15,0.39856,0.115234,-0.289612,-0.86261,0.39856 0.115234 -0.289612
1.46E+15,0.398499,0.115295,-0.289612,-0.86261,0.398499 0.115295 -0.289612
1.46E+15,0.398499,0.115295,-0.289612,-0.86261,0.398499 0.115295 -0.289612
1.46E+15,0.398499,0.115295,-0.289612,-0.86261,0.398499 0.115295 -0.289612
1.46E+15,0.398499,0.115295,-0.289612,-0.86261,0.398499 0.115295 -0.289612
1.46E+15,0.398499,0.115295,-0.289612,-0.86261,0.398499 0.115295 -0.289612
1.46E+15,0.398499,0.115295,-0.289612,-0.86261,0.398499 0.115295 -0.289612
1.46E+15,0.398682,0.115295,-0.289612,-0.862549,0.398682 0.115295 -0.289612
1.46E+15,0.398804,0.115356,-0.289612,-0.862427,0.398804 0.115356 -0.289612
1.46E+15,0.398804,0.115356,-0.289612,-0.862427,0.398804 0.115356 -0.289612
1.46E+15,0.398743,0.115356,-0.289673,-0.862427,0.398743 0.115356 -0.289673
1.46E+15,0.398743,0.115356,-0.289673,-0.862488,0.398743 0.115356 -0.289673
1.46E+15,0.398743,0.115356,-0.289673,-0.862488,0.398743 0.115356 -0.289673
1.46E+15,0.398743,0.115356,-0.289673,-0.862488,0.398743 0.115356 -0.289673
1.46E+15,0.398743,0.115356,-0.289673,-0.862488,0.398743 0.115356 -0.289673
1.46E+15,0.398743,0.115356,-0.289673,-0.862488,0.398743 0.115356 -0.289673
1.46E+15,0.398743,0.115356,-0.289673,-0.862488,0.398743 0.115356 -0.289673
1.46E+15,0.398682,0.115356,-0.289673,-0.862488,0.398682 0.115356 -0.289673
1.46E+15,0.398682,0.115295,-0.289673,-0.862488,0.398682 0.115295 -0.289673
1.46E+15,0.398682,0.115295,-0.289673,-0.862488,0.398682 0.115295 -0.289673
1.46E+15,0.398743,0.115295,-0.289673,-0.862488,0.398743 0.115295 -0.289673
1.46E+15,0.398743,0.115356,-0.289673,-0.862488,0.398743 0.115356 -0.289673
1.46E+15,0.398743,0.115356,-0.289673,-0.862488,0.398743 0.115356 -0.289673
1.46E+15,0.398865,0.115479,-0.28949,-0.862427,0.398865 0.115479 -0.28949
1.46E+15,0.39917,0.115784,-0.289185,-0.862366,0.39917 0.115784 -0.289185
1.46E+15,0.399109,0.115845,-0.28894,-0.862427,0.399109 0.115845 -0.28894
1.46E+15,0.398682,0.115662,-0.288879,-0.862732,0.398682 0.115662 -0.288879
1.46E+15,0.398621,0.115601,-0.288879,-0.862732,0.398621 0.115601 -0.288879
1.46E+15,0.398621,0.115662,-0.288879,-0.862732,0.398621 0.115662 -0.288879
1.46E+15,0.398315,0.115845,-0.289124,-0.862793,0.398315 0.115845 -0.289124
1.46E+15,0.397888,0.116211,-0.289063,-0.862915,0.397888 0.116211 -0.289063
1.46E+15,0.397583,0.116577,-0.289063,-0.863037,0.397583 0.116577 -0.289063
1.46E+15,0.397278,0.116821,-0.28894,-0.863159,0.397278 0.116821 -0.28894
1.46E+15,0.397278,0.116821,-0.28894,-0.863159,0.397278 0.116821 -0.28894
1.46E+15,0.397156,0.117188,-0.288757,-0.86322,0.397156 0.117188 -0.288757
1.46E+15,0.397095,0.117432,-0.288513,-0.863342,0.397095 0.117432 -0.288513
1.46E+15,0.396973,0.117615,-0.288208,-0.863464,0.396973 0.117615 -0.288208
1.46E+15,0.396851,0.117737,-0.287964,-0.863586,0.396851 0.117737 -0.287964
1.46E+15,0.396729,0.117859,-0.287598,-0.863708,0.396729 0.117859 -0.287598
1.46E+15,0.396484,0.117859,-0.287354,-0.863953,0.396484 0.117859 -0.287354
1.46E+15,0.39624,0.11792,-0.286987,-0.864136,0.39624 0.11792 -0.286987
1.46E+15,0.396301,0.118225,-0.286621,-0.864197,0.396301 0.118225 -0.286621
1.46E+15,0.396606,0.118713,-0.286011,-0.864197,0.396606 0.118713 -0.286011
1.46E+15,0.396545,0.118713,-0.285583,-0.86438,0.396545 0.118713 -0.285583
1.46E+15,0.39624,0.118225,-0.285339,-0.864624,0.39624 0.118225 -0.285339
1.46E+15,0.396301,0.118103,-0.284912,-0.864807,0.396301 0.118103 -0.284912
1.46E+15,0.396118,0.118103,-0.284302,-0.865051,0.396118 0.118103 -0.284302
1.46E+15,0.395508,0.118042,-0.283691,-0.86554,0.395508 0.118042 -0.283691
1.46E+15,0.395142,0.118164,-0.28302,-0.865906,0.395142 0.118164 -0.28302
1.46E+15,0.394958,0.118103,-0.282471,-0.866211,0.394958 0.118103 -0.282471
1.46E+15,0.395081,0.118347,-0.281799,-0.866333,0.395081 0.118347 -0.281799
1.46E+15,0.394836,0.118469,-0.281006,-0.866699,0.394836 0.118469 -0.281006
1.46E+15,0.39386,0.118347,-0.280334,-0.867371,0.39386 0.118347 -0.280334
1.46E+15,0.392639,0.118286,-0.279663,-0.868103,0.392639 0.118286 -0.279663
1.46E+15,0.391907,0.118286,-0.278809,-0.868774,0.391907 0.118286 -0.278809
1.46E+15,0.391541,0.118408,-0.277893,-0.869202,0.391541 0.118408 -0.277893
1.46E+15,0.391052,0.118591,-0.276917,-0.86969,0.391052 0.118591 -0.276917
1.46E+15,0.390259,0.118713,-0.275696,-0.870422,0.390259 0.118713 -0.275696
1.46E+15,0.389099,0.118469,-0.274231,-0.871399,0.389099 0.118469 -0.274231
1.46E+15,0.388367,0.118164,-0.272583,-0.872314,0.388367 0.118164 -0.272583
1.46E+15,0.387817,0.118103,-0.270935,-0.873108,0.387817 0.118103 -0.270935
1.46E+15,0.386902,0.118225,-0.269348,-0.873962,0.386902 0.118225 -0.269348
1.46E+15,0.385376,0.118347,-0.267761,-0.875122,0.385376 0.118347 -0.267761
1.46E+15,0.383362,0.118164,-0.266235,-0.876465,0.383362 0.118164 -0.266235
